Property_ID,Area,Bedrooms,Bathrooms,Square_Feet,Parking,Furnishing_Status,Year_Built,Distance_to_CityCenter,Crime_Rate,Locality_Rating,House_Price
1,City Outskirts,3.0,3,1558,No,Unfurnished,,11.4,38.95,,174194
2,Industrial Zone,,3,1785,Yes,Unfurnished,,23.88,29.85,,133069
3,Riverside,4.0,1,1442,Yes,Semi-Furnished,,14.02,19.76,,204347
4,Industrial Zone,3.0,4,1777,Yes,Semi-Furnished,,17.63,55.76,,224295
5,Uptown,2.0,2,632,Yes,Furnished,,17.3,38.9,,164406
6,Suburb,2.0,2,2014,Yes,Furnished,,17.55,42.48,10.0,102258
7,Industrial Zone,1.0,3,1739,No,Semi-Furnished,,13.83,38.45,,105175
8,Riverside,4.0,2,1631,No,Unfurnished,,2.38,27.16,,222225
9,Riverside,3.0,3,1909,No,Unfurnished,,21.32,66.01,,94845
10,Industrial Zone,4.0,1,1083,No,Semi-Furnished,1996.0,14.42,80.42,,234931
11,Riverside,1.0,3,2764,No,Semi-Furnished,,11.73,23.05,,26694
12,Downtown,,2,1748,No,Unfurnished,1981.0,11.74,55.81,,167411
13,Uptown,4.0,3,1727,Yes,Unfurnished,,17.13,32.24,,280039
14,Downtown,2.0,2,1317,Yes,Furnished,,11.5,62.13,,151482
15,Downtown,2.0,3,1811,No,Semi-Furnished,,13.47,71.19,,257581
16,Uptown,2.0,3,2493,Yes,Semi-Furnished,,19.86,61.68,,104707
17,City Outskirts,2.0,2,2317,No,Semi-Furnished,,16.43,36.19,,130193
18,Hilltop,3.0,3,2227,No,Unfurnished,,8.86,39.45,,242017
19,Suburb,3.0,2,2073,No,Furnished,,18.85,43.47,,210747
20,Industrial Zone,2.0,4,1620,Yes,Unfurnished,,12.89,60.41,,210818
21,Hilltop,3.0,2,1074,Yes,Semi-Furnished,2014.0,20.9,46.69,7.0,246171
22,Hilltop,2.0,3,1699,No,Semi-Furnished,,12.31,60.37,,224893
23,Hilltop,2.0,3,1682,Yes,Semi-Furnished,,16.05,50.19,,74579
24,Hilltop,3.0,2,2324,No,Semi-Furnished,,19.19,49.0,,225220
25,Uptown,3.0,2,1954,Yes,Semi-Furnished,2020.0,8.93,51.83,,155628
26,Hilltop,4.0,2,2606,Yes,Unfurnished,,20.01,49.44,,265945
27,Suburb,2.0,3,2398,No,Furnished,,26.9,26.63,,169788
28,Industrial Zone,3.0,2,1571,No,Semi-Furnished,,18.32,35.73,,190490
29,City Outskirts,3.0,2,902,No,Semi-Furnished,,16.42,74.74,,288163
30,Uptown,1.0,3,2492,No,Semi-Furnished,,21.25,57.15,,28883
31,Hilltop,3.0,2,2479,Yes,Unfurnished,,20.82,77.03,,295705
32,Riverside,2.0,3,1116,No,Unfurnished,,15.98,36.71,,150254
33,Industrial Zone,1.0,2,2554,Yes,Semi-Furnished,,8.41,49.93,,129133
34,Uptown,5.0,1,1991,No,Semi-Furnished,,10.44,47.04,,280031
35,City Outskirts,,3,1880,Yes,Semi-Furnished,,12.45,34.33,,202358
36,Hilltop,4.0,1,2607,No,Semi-Furnished,,6.09,24.78,,277011
37,Downtown,2.0,2,2472,No,Semi-Furnished,,24.71,35.16,,89091
38,Uptown,1.0,4,2125,No,Unfurnished,,8.46,65.71,,-30346
39,Industrial Zone,3.0,2,2036,Yes,Semi-Furnished,2015.0,14.65,42.83,,226143
40,Industrial Zone,3.0,5,2108,Yes,Semi-Furnished,,8.73,45.27,,134167
41,Riverside,2.0,5,1599,No,Semi-Furnished,,19.12,49.86,,118221
42,Industrial Zone,3.0,2,1772,Yes,Unfurnished,,21.93,52.44,,104293
43,Uptown,1.0,1,1348,No,Semi-Furnished,,5.84,45.48,5.0,149198
44,Downtown,5.0,3,1633,Yes,Unfurnished,,19.63,44.17,,406134
45,Uptown,2.0,2,1616,No,Furnished,,6.64,55.97,,150631
46,Riverside,3.0,1,1482,No,Unfurnished,,12.22,74.44,,192193
47,City Outskirts,2.0,3,1868,Yes,Semi-Furnished,,33.55,40.76,,164787
48,Riverside,3.0,1,1638,Yes,Unfurnished,,16.97,27.04,,228843
49,City Outskirts,3.0,4,2051,Yes,Semi-Furnished,,21.31,40.59,,208210
50,Riverside,2.0,1,988,No,Unfurnished,,17.2,48.5,,226432
51,Suburb,,1,1743,Yes,Unfurnished,,13.9,22.38,,236949
52,Uptown,4.0,1,1865,Yes,Furnished,,10.7,51.49,,291422
53,Industrial Zone,5.0,5,1644,Yes,Unfurnished,,25.37,58.59,,400188
54,Uptown,4.0,3,1713,Yes,Furnished,,28.45,34.51,,320962
55,Downtown,3.0,3,1007,Yes,Furnished,,15.38,45.57,,144717
56,Suburb,5.0,2,1978,No,Unfurnished,,23.48,60.16,,312318
57,Downtown,1.0,2,2123,No,Unfurnished,1981.0,21.12,49.52,,128501
58,Uptown,2.0,2,2046,Yes,Unfurnished,,13.68,52.35,,88867
59,Downtown,1.0,2,2319,No,Furnished,,15.41,48.44,,75424
60,City Outskirts,2.0,2,1900,Yes,Semi-Furnished,,11.95,51.36,,40895
61,Suburb,3.0,3,2039,Yes,Semi-Furnished,,29.3,73.69,4.0,302931
62,Industrial Zone,2.0,2,1878,No,Furnished,,20.66,58.62,,177504
63,Riverside,4.0,4,2143,No,Furnished,,15.22,19.47,,252983
64,City Outskirts,3.0,1,1011,No,Unfurnished,1998.0,11.61,52.48,,110306
65,Hilltop,2.0,5,1353,No,Unfurnished,,18.62,76.47,,221765
66,Riverside,3.0,1,2593,No,Semi-Furnished,,5.89,50.73,,201025
67,Downtown,2.0,2,569,No,Semi-Furnished,,9.7,22.89,,30666
68,Uptown,4.0,2,1729,No,Semi-Furnished,,13.6,34.68,,322542
69,City Outskirts,1.0,2,2386,Yes,Unfurnished,,12.05,48.52,,80402
70,Suburb,,2,1753,Yes,Unfurnished,,13.53,38.11,,221726
71,Riverside,4.0,2,1597,Yes,Furnished,,19.75,74.32,,277056
72,Hilltop,2.0,2,1864,No,Unfurnished,,28.58,34.05,,147016
73,City Outskirts,1.0,3,1623,Yes,Semi-Furnished,,20.0,49.31,,1222
74,Industrial Zone,4.0,3,1815,Yes,Furnished,,13.92,49.91,,249019
75,Industrial Zone,4.0,3,1458,Yes,Unfurnished,,22.04,73.22,,318043
76,Uptown,4.0,2,2354,Yes,Semi-Furnished,,15.34,48.67,,268232
77,Suburb,4.0,3,2511,No,Unfurnished,,1.94,67.07,,255956
78,Suburb,1.0,2,1733,Yes,Furnished,,23.38,46.2,,128538
79,Riverside,3.0,2,1106,Yes,Unfurnished,,6.7,48.17,,77050
80,City Outskirts,2.0,2,1538,Yes,Semi-Furnished,,15.93,44.41,,229267
81,City Outskirts,4.0,2,1708,Yes,Furnished,,9.42,23.89,,246101
82,Suburb,3.0,1,2052,Yes,Semi-Furnished,1997.0,7.02,65.1,1.0,192629
83,Industrial Zone,2.0,2,1295,No,Furnished,,11.88,60.8,,102261
84,Downtown,1.0,1,1415,Yes,Unfurnished,,-2.75,49.74,,141870
85,Suburb,2.0,3,2055,Yes,Unfurnished,,10.14,42.99,,216976
86,Uptown,2.0,3,2269,Yes,Semi-Furnished,,17.93,31.54,,187256
87,City Outskirts,4.0,5,1489,Yes,Unfurnished,1995.0,17.57,41.84,,216083
88,Industrial Zone,3.0,3,1133,Yes,Furnished,,1.89,49.49,,335663
89,Riverside,4.0,1,3442,Yes,Unfurnished,,21.79,54.74,,295018
90,City Outskirts,3.0,4,2191,No,Unfurnished,,31.61,57.01,,178455
91,Industrial Zone,2.0,4,1666,Yes,Unfurnished,,27.1,36.32,,198542
92,Suburb,4.0,2,2234,Yes,Unfurnished,2004.0,11.31,36.95,6.0,226578
93,Uptown,4.0,2,1737,No,Unfurnished,,10.38,48.91,,359886
94,Downtown,3.0,5,2233,No,Unfurnished,,8.72,44.88,,158720
95,Industrial Zone,4.0,2,1879,Yes,Unfurnished,,27.78,60.15,,245204
96,Industrial Zone,3.0,4,1845,Yes,Unfurnished,,11.37,28.95,,274439
97,City Outskirts,3.0,1,1743,No,Semi-Furnished,,10.04,58.66,,254676
98,Suburb,3.0,1,1076,Yes,Semi-Furnished,2004.0,20.86,50.91,,199518
99,Hilltop,1.0,2,2769,No,Unfurnished,,22.95,40.72,,103122
100,Suburb,2.0,2,1329,Yes,Semi-Furnished,2012.0,21.82,54.82,,104675
101,Suburb,1.0,3,1119,Yes,Unfurnished,,7.62,58.88,,27716
102,Uptown,3.0,0,1693,Yes,Unfurnished,,18.45,21.46,2.0,268458
103,Suburb,2.0,2,1319,No,Unfurnished,2008.0,25.23,79.23,,196613
104,Industrial Zone,3.0,1,1774,No,Semi-Furnished,,15.02,49.35,,221230
105,Suburb,5.0,3,2143,No,Furnished,2018.0,17.06,56.91,,193883
106,Suburb,2.0,3,2297,No,Unfurnished,,16.42,56.51,6.0,141352
107,City Outskirts,3.0,1,2207,Yes,Unfurnished,,13.11,52.51,,206665
108,Suburb,4.0,2,1647,Yes,Furnished,,18.17,42.17,,320348
109,Uptown,2.0,3,1824,No,Semi-Furnished,,21.22,51.38,,164052
110,Hilltop,1.0,3,2003,No,Furnished,,24.12,50.06,,110430
111,City Outskirts,2.0,2,921,No,Unfurnished,,14.61,54.26,,113821
112,Industrial Zone,2.0,2,2085,No,Furnished,,15.47,72.97,,202556
113,Hilltop,5.0,5,1071,Yes,Unfurnished,,11.47,45.43,,263618
114,Suburb,4.0,3,2820,No,Semi-Furnished,,26.05,36.23,,178196
115,Downtown,3.0,2,1597,Yes,Semi-Furnished,2014.0,11.98,50.67,,183308
116,Hilltop,4.0,2,1707,No,Semi-Furnished,,14.31,38.97,,295295
117,Uptown,4.0,3,1415,Yes,Unfurnished,,15.56,33.33,,306905
118,Downtown,2.0,2,1485,No,Semi-Furnished,,16.46,38.87,,558
119,Uptown,4.0,1,2937,Yes,Furnished,,4.51,29.09,,265963
120,Industrial Zone,3.0,2,2270,Yes,Semi-Furnished,,18.82,30.71,,122460
121,Downtown,4.0,2,1025,Yes,Unfurnished,,18.11,71.91,,252485
122,Suburb,4.0,3,2552,Yes,Furnished,,16.11,65.82,,280839
123,Downtown,2.0,1,2396,Yes,Furnished,,17.52,49.51,,91138
124,Industrial Zone,2.0,3,1659,Yes,Furnished,,14.62,33.75,,163812
125,Hilltop,2.0,2,1953,Yes,Furnished,2020.0,4.93,21.84,,179235
126,Downtown,3.0,1,1792,Yes,Unfurnished,,22.66,45.77,,279573
127,Uptown,4.0,1,2786,Yes,Semi-Furnished,,4.83,59.74,,222424
128,Suburb,4.0,4,1401,No,Furnished,,8.91,48.19,,312860
129,Uptown,1.0,4,1873,No,Semi-Furnished,,23.4,64.13,,96655
