Brand,ModelYear,EngineSize,Horsepower,Mileage,FuelType,Transmission,Seats,OwnerCount,Price
BMW,2013,2826,105.0,15.5,CNG,Automatic,7,1,50782.940821755255
Honda,2020,3870,340.0,12.6,Diesel,Manual,4,1,72925.49645334561
Audi,2000,1888,273.0,20.1,Petrol,Automatic,4,0,65363.751107753684
Audi,2020,1181,270.0,19.7,Petrol,Manual,4,0,57857.039556974596
Audi,2017,1988,126.0,,Petrol,Manual,5,1,61863.46195211094
Audi,2016,3938,133.0,21.6,Petrol,Automatic,7,2,71977.96819576989
Honda,2012,1984,331.0,15.1,Diesel,Automatic,7,0,88843.02170743656
Audi,2009,3046,77.0,22.0,Diesel,Manual,7,1,42255.19214857975
Ford,2022,1349,225.0,12.6,Petrol,Manual,7,0,68181.4922877415
Hyundai,2002,3876,274.0,16.5,Petrol,Automatic,6,2,76608.15320196311
Honda,2004,1005,195.0,11.5,Petrol,Automatic,5,2,58950.722969924005
Maruti,2009,2790,313.0,14.6,Petrol,Manual,4,2,77950.41938006275
Honda,2013,3023,232.0,15.5,Petrol,Automatic,6,1,69502.53486430459
Honda,2023,3847,373.0,12.6,Diesel,Manual,4,3,94934.82269217487
Toyota,2005,2461,245.0,21.5,CNG,Automatic,7,2,87339.23608621371
Hyundai,2021,1326,150.0,13.7,Diesel,Automatic,4,3,61726.9996462971
Honda,2022,2881,293.0,26.3,CNG,Manual,5,0,68256.1670215046
Toyota,2008,3409,307.0,23.0,Petrol,Automatic,4,1,60351.852086079976
Kia,2010,2789,381.0,23.9,Petrol,Manual,7,1,79349.7334283019
Hyundai,2011,1391,101.0,25.5,Diesel,Automatic,4,1,50666.67587706215
Audi,2024,1474,194.0,20.0,Petrol,Manual,7,0,54354.503733619174
Maruti,2016,2934,70.0,16.6,CNG,Automatic,6,2,50977.4272267425
Toyota,2001,1194,235.0,16.6,Petrol,Automatic,7,3,53739.85674824919
BMW,2008,3298,354.0,17.3,CNG,Automatic,4,0,76795.98715288314
Hyundai,2024,1991,265.0,20.6,CNG,Manual,5,2,82986.43439039474
Maruti,2023,2994,,19.1,Petrol,Manual,7,0,95030.13049923575
Kia,2021,2165,157.0,17.5,,Manual,7,2,57042.209799282966
Audi,2022,2107,215.0,12.5,CNG,Automatic,4,2,70937.0955457043
Audi,2018,2080,126.0,18.9,Petrol,Automatic,4,3,44938.636228726726
Hyundai,2023,3586,254.0,13.7,CNG,Automatic,7,2,68878.6202452991
Kia,2002,3917,317.0,12.7,CNG,Automatic,4,3,72885.64614961427
Audi,2019,3378,109.0,22.8,Petrol,Automatic,5,0,43703.62806681195
BMW,2013,3084,132.0,13.1,Diesel,Automatic,6,3,51502.74435577715
Kia,2004,2652,219.0,22.0,,Manual,4,3,70440.88785433574
Hyundai,2018,3576,303.0,,Diesel,Automatic,6,0,78943.2206715052
Hyundai,2019,3771,267.0,21.8,CNG,Automatic,6,1,73727.59798185149
BMW,2017,3981,287.0,12.5,CNG,Automatic,6,2,92052.99429544702
Toyota,2011,2157,161.0,22.6,Petrol,Automatic,5,1,38092.28051979057
Maruti,2013,3102,145.0,16.6,CNG,Manual,5,1,58589.690659346415
BMW,2005,3016,129.0,21.3,Diesel,Automatic,6,2,53297.96656267895
Ford,2009,3565,105.0,12.9,Petrol,Manual,4,2,48787.010842744756
Hyundai,2019,2266,99.0,24.2,Petrol,Manual,6,2,59426.05859116708
Honda,2017,958,221.0,12.4,Petrol,Automatic,6,0,71947.21956453318
Kia,2012,3225,296.0,19.1,Diesel,Manual,6,0,75415.12267737534
Honda,2014,1749,273.0,20.1,CNG,Automatic,7,0,80471.44600494484
Ford,2016,3831,246.0,15.7,Petrol,Automatic,6,2,65045.906351889455
Kia,2004,2617,115.0,21.8,Petrol,Automatic,5,0,36014.12448734017
BMW,2024,1820,79.0,13.9,CNG,Manual,6,0,43412.40707625737
Honda,2024,3582,61.0,16.8,CNG,Manual,7,3,40796.72440032037
Ford,2001,1380,252.0,22.5,Diesel,Manual,4,1,70564.86435447828
Honda,2009,3609,80.0,15.4,Diesel,Manual,7,2,55641.07556979131
Hyundai,2024,2488,211.0,20.5,Diesel,Manual,4,3,75715.19601372466
BMW,2012,3004,328.0,15.9,Diesel,Manual,7,1,72822.67464919848
Audi,2015,3822,327.0,17.5,CNG,Manual,7,2,86647.33427431982
Honda,2021,2418,311.0,15.2,Petrol,Automatic,5,2,94217.66504096132
Ford,2019,3228,248.0,20.9,Petrol,Automatic,6,1,80872.62533121053
Honda,2021,1437,147.0,19.1,Diesel,Automatic,6,2,69653.76911041478
Honda,2014,2417,387.0,8.8,CNG,Manual,6,3,87472.73378124984
Toyota,2003,1625,259.0,18.7,CNG,Automatic,4,1,56809.986807323614
Kia,2005,3783,248.0,15.4,Diesel,Automatic,5,1,72050.59393581477
Audi,2020,1386,214.0,16.1,Diesel,Automatic,6,3,56777.59745938047
Hyundai,2003,3272,,19.3,,Automatic,6,2,68253.52482114942
Ford,2005,1721,300.0,19.2,CNG,Automatic,4,0,70625.33701149764
Ford,2022,3398,178.0,15.5,Petrol,Manual,7,1,77057.83017374208
Hyundai,2001,1270,333.0,18.0,Petrol,Automatic,5,0,72455.2318066725
Maruti,2002,2745,85.0,20.9,Petrol,Automatic,7,0,60560.74414412129
Hyundai,2024,3368,103.0,15.7,Diesel,Manual,4,1,67541.83939000848
Kia,2002,3888,368.0,,CNG,Automatic,6,1,85398.82123467853
Honda,2001,1978,220.0,12.8,,Manual,4,1,65121.009145093696
Kia,2012,906,382.0,20.3,CNG,Automatic,7,0,65311.103486295106
Hyundai,2001,3099,364.0,,Petrol,Manual,6,2,89894.68617441313
Ford,2010,1871,140.0,21.5,CNG,Manual,6,0,60629.31041434061
Maruti,2017,2642,147.0,11.2,Diesel,Manual,5,0,43833.15378696608
Hyundai,2001,1753,159.0,22.6,CNG,Manual,4,0,53226.04440539293
BMW,2015,1975,312.0,19.7,CNG,Automatic,5,3,77197.50309946641
Honda,2011,873,162.0,19.3,CNG,Manual,6,3,57047.48648178936
Kia,2002,1092,148.0,19.9,CNG,Automatic,6,3,55890.50028882561
Ford,2007,3376,379.0,,CNG,Manual,4,1,78613.758406876
Kia,2020,2186,145.0,15.4,Petrol,Automatic,5,2,60757.49674941656
Toyota,2009,2324,57.0,16.0,Petrol,Manual,7,1,50749.74154095071
Audi,2003,3634,310.0,23.2,Diesel,Automatic,7,3,79203.34736366392
Ford,2017,1556,232.0,9.7,,Automatic,6,0,88220.64625945665
Toyota,2021,3215,105.0,17.9,CNG,Automatic,4,3,52456.60388343904
Toyota,2001,2253,210.0,,CNG,Manual,6,2,39950.62075995296
Hyundai,2003,3043,371.0,20.7,Petrol,Automatic,7,1,91782.30630030326
Hyundai,2021,2170,294.0,15.9,CNG,Manual,6,1,77822.88914506207
Hyundai,2008,1974,261.0,11.6,CNG,Manual,7,1,87031.64015751911
Honda,2009,1831,210.0,22.0,Diesel,Manual,7,1,59950.46052945095
Audi,2010,3423,62.0,14.0,CNG,Manual,5,3,55411.21581394269
BMW,2022,1505,377.0,14.5,CNG,Manual,6,2,86550.8260706875
Audi,2022,1826,97.0,15.3,Petrol,Manual,7,1,49188.06300467279
Ford,2019,2115,201.0,22.6,Diesel,Automatic,4,1,54809.586222992046
Hyundai,2023,3844,373.0,20.9,Petrol,Automatic,7,3,88626.62837739108
Maruti,2019,2760,370.0,13.8,Petrol,Automatic,4,3,96429.08484636788
Toyota,2007,2276,171.0,25.0,Diesel,Automatic,6,2,44554.77367277449
Ford,2005,2951,194.0,15.0,CNG,Manual,7,0,66647.3034609536
Toyota,2003,3091,60.0,17.7,Diesel,Automatic,4,2,42238.3246598352
Ford,2004,3052,373.0,16.0,CNG,Automatic,4,0,99318.45149573681
BMW,2009,3982,131.0,20.3,CNG,Automatic,5,2,64418.60556660478
Ford,2007,980,53.0,21.0,Diesel,Automatic,7,0,46563.536406349536
Ford,2024,1183,83.0,17.1,Petrol,Manual,7,3,56047.7157521651
Hyundai,2000,3079,355.0,20.1,Petrol,Manual,6,3,77446.30113674284
Maruti,2000,1219,125.0,20.2,CNG,Automatic,5,2,40823.836818550015
Honda,2003,3525,66.0,11.8,Diesel,Manual,6,0,45353.19027785127
Hyundai,2009,3975,,24.4,Petrol,Manual,4,3,64980.38027123759
BMW,2010,1297,231.0,19.2,CNG,Manual,6,1,65058.77479573992
Honda,2019,1230,84.0,18.3,CNG,Manual,5,0,40943.02499157095
Maruti,2012,3496,282.0,,Diesel,Manual,7,0,69072.2957723923
Audi,2004,3926,252.0,18.6,CNG,Manual,6,0,74804.73082188008
Toyota,2002,2006,170.0,,Diesel,Automatic,7,2,54027.98157174044
Toyota,2015,2726,352.0,15.5,Petrol,Manual,5,3,72718.30919190426
BMW,2019,3820,136.0,18.2,CNG,Manual,4,0,67423.68283120124
Audi,2012,2496,268.0,17.3,Petrol,Automatic,5,1,79337.34790629748
Honda,2018,922,134.0,12.5,CNG,Manual,7,2,77517.00232901578
Audi,2023,1833,171.0,16.8,CNG,Automatic,7,2,66418.17117626837
Ford,2019,881,240.0,15.2,Diesel,Automatic,4,0,65250.85456123056
BMW,2018,1354,92.0,14.8,CNG,Automatic,5,2,57523.13916332206
BMW,2024,2231,218.0,14.8,Diesel,Automatic,7,2,64629.9969922764
Hyundai,2019,1815,216.0,21.1,CNG,Automatic,6,3,61314.08690835394
Audi,2012,1792,60.0,13.4,Diesel,Manual,4,1,40641.71533548333
Honda,2012,2177,82.0,16.5,Diesel,Manual,7,0,37152.54606099315
Kia,2004,2413,56.0,17.6,Diesel,Automatic,5,3,32685.141104124676
Audi,2017,2637,244.0,17.5,Petrol,Manual,4,0,84099.20916338322
Audi,2024,3111,83.0,15.5,CNG,Manual,4,1,63574.48857788289
Toyota,2006,3919,273.0,14.7,CNG,Automatic,6,3,80017.62223252289
Kia,2021,2757,115.0,20.6,Petrol,Automatic,5,3,60959.423488185595
Audi,2015,938,186.0,18.9,Petrol,Automatic,7,2,53753.11683296182
Maruti,2010,3987,63.0,18.5,Petrol,Automatic,5,3,59366.23293894473
BMW,2016,2587,301.0,27.1,CNG,Manual,5,0,60663.797891570146
Maruti,2017,2531,198.0,17.6,CNG,Manual,5,2,58460.08824648877
Honda,2021,1744,159.0,20.5,CNG,Automatic,6,3,59031.159410009466
Audi,2004,1631,392.0,18.5,CNG,Automatic,4,1,92429.2594500113
Hyundai,2000,2009,338.0,19.8,Diesel,Automatic,5,3,60966.66156700756
Toyota,2001,1046,158.0,25.4,CNG,Automatic,7,1,26890.53608343196
Audi,2023,1589,338.0,15.6,Diesel,Manual,4,3,77088.40480537046
Hyundai,2008,942,195.0,10.8,Petrol,Manual,5,1,63574.152056043684
